date,value
"March 2, 2020",0
"March 3, 2020",0
"March 4, 2020",0
"March 5, 2020",0
"March 6, 2020",0
"March 7, 2020",0
"March 8, 2020",0
"March 9, 2020",0
"March 10, 2020",0
"March 11, 2020",0
"March 12, 2020",0
"March 13, 2020",0
"March 14, 2020",0
"March 15, 2020",0
"March 16, 2020",0
"March 17, 2020",0
"March 18, 2020",0
"March 19, 2020",0
"March 20, 2020",0
"March 21, 2020",0
"March 22, 2020",0
"March 23, 2020",0
"March 24, 2020",0
"March 25, 2020",0
"March 26, 2020",0
"March 27, 2020",0
"March 28, 2020",0
"March 29, 2020",0
"March 30, 2020",0
"March 31, 2020",0
"April 1, 2020",0
"April 2, 2020",1
"April 3, 2020",0
"April 4, 2020",0
"April 5, 2020",0
"April 6, 2020",2
"April 7, 2020",2
"April 8, 2020",2
"April 9, 2020",6
"April 10, 2020",4
"April 11, 2020",1
"April 12, 2020",2
"April 13, 2020",10
"April 14, 2020",6
"April 15, 2020",7
"April 16, 2020",10
"April 17, 2020",15
"April 18, 2020",4
"April 19, 2020",3
"April 20, 2020",31
"April 21, 2020",18
"April 22, 2020",30
"April 23, 2020",67
"April 24, 2020",161
"April 25, 2020",22
"April 26, 2020",7
"April 27, 2020",1490
"April 28, 2020",2324
"April 29, 2020",3270
"April 30, 2020",3519
"May 1, 2020",4181
"May 2, 2020",535
"May 3, 2020",404
"May 4, 2020",4863
"May 5, 2020",4890
"May 6, 2020",4955
"May 7, 2020",4940
"May 8, 2020",5536
"May 9, 2020",1034
"May 10, 2020",468
"May 11, 2020",4781
"May 12, 2020",4479
"May 13, 2020",4272
"May 14, 2020",4417
"May 15, 2020",4999
"May 16, 2020",1791
"May 17, 2020",1341
"May 18, 2020",5171
"May 19, 2020",5019
"May 20, 2020",4954
"May 21, 2020",4782
"May 22, 2020",4462
"May 23, 2020",2271
"May 24, 2020",683
"May 25, 2020",576
"May 26, 2020",4386
"May 27, 2020",4249
"May 28, 2020",4051
"May 29, 2020",4077
"May 30, 2020",1896
"May 31, 2020",764
"June 1, 2020",4529
"June 2, 2020",4159
"June 3, 2020",3575
"June 4, 2020",3636
